yago,"http://dbpedia.org/class/yago/"
rdf,"http://www.w3.org/1999/02/22-rdf-syntax-ns#"
foaf,"http://xmlns.com/foaf/0.1/"
dbp,"http://dbpedia.org/property/"
owl,"http://www.w3.org/2002/07/owl#"
dc,"http://purl.org/dc/elements/1.1/"
rdfs,"http://www.w3.org/2000/01/rdf-schema#"
dbo,"http://dbpedia.org/ontology/"
rss,"http://purl.org/rss/1.0/"
sc,"http://umbel.org/umbel/sc/"
fb,"http://rdf.freebase.com/ns/"
geonames,"http://www.geonames.org/ontology#"
skos,"http://www.w3.org/2004/02/skos/core#"
geo,"http://www.w3.org/2003/01/geo/wgs84_pos#"
sioc,"http://rdfs.org/sioc/ns#"
cyc,"http://sw.opencyc.org/concept/"
akt,"http://www.aktors.org/ontology/portal#"
dbpedia,"http://dbpedia.org/resource/"
gr,"http://purl.org/goodrelations/v1#"
xsd,"http://www.w3.org/2001/XMLSchema#"
admin,"http://webns.net/mvcb/"
dcterms,"http://purl.org/dc/terms/"
swrc,"http://swrc.ontoware.org/ontology#"
dbpprop,"http://dbpedia.org/property/"
commerce,"http://search.yahoo.com/searchmonkey/commerce/"
dct,"http://purl.org/dc/terms/"
xhtml,"http://www.w3.org/1999/xhtml#"
doap,"http://usefulinc.com/ns/doap#"
content,"http://purl.org/rss/1.0/modules/content/"
dc11,"http://purl.org/dc/elements/1.1/"
vcard,"http://www.w3.org/2006/vcard/ns#"
void,"http://rdfs.org/ns/void#"
gldp,"http://www.w3.org/ns/people#"
gen,"http://www.w3.org/2006/gen/ont#"
bill,"http://www.rdfabout.com/rdf/schema/usbill/"
wot,"http://xmlns.com/wot/0.1/"
org,"http://www.w3.org/ns/org#"
test2,"http://this.invalid/test2#"
nie,"http://www.semanticdesktop.org/ontologies/2007/01/19/nie#"
d2rq,"http://www.wiwiss.fu-berlin.de/suhl/bizer/D2RQ/0.1#"
qb,"http://purl.org/linked-data/cube#"
http,"http://www.w3.org/2006/http#"
og,"http://opengraphprotocol.org/schema/"
rel,"http://purl.org/vocab/relationship/"
drugbank,"http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugbank/"
factbook,"http://www4.wiwiss.fu-berlin.de/factbook/ns#"
mo,"http://purl.org/ontology/mo/"
vann,"http://purl.org/vocab/vann/"
dcmit,"http://purl.org/dc/dcmitype/"
ex,"http://example.com/"
bibo,"http://purl.org/ontology/bibo/"
cc,"http://creativecommons.org/ns#"
bio,"http://purl.org/vocab/bio/0.1/"
media,"http://search.yahoo.com/searchmonkey/media/"
earl,"http://www.w3.org/ns/earl#"
aiiso,"http://purl.org/vocab/aiiso/schema#"
reco,"http://purl.org/reco#"
book,"http://purl.org/NET/book/vocab#"
dv,"http://rdf.data-vocabulary.org/#"
musim,"http://purl.org/ontology/similarity/"
cld,"http://purl.org/cld/terms/"
air,"http://dig.csail.mit.edu/TAMI/2007/amord/air#"
dcq,"http://purl.org/dc/terms/"
ical,"http://www.w3.org/2002/12/cal/ical#"
xfn,"http://vocab.sindice.com/xfn#"
cv,"http://rdfs.org/resume-rdf/"
botany,"http://purl.org/NET/biol/botany#"
tag,"http://www.holygoat.co.uk/owl/redwood/0.1/tags/"
owlim,"http://www.ontotext.com/trree/owlim#"
rev,"http://purl.org/stuff/rev#"
dir,"http://schemas.talis.com/2005/dir/schema#"
event,"http://purl.org/NET/c4dm/event.owl#"
swc,"http://data.semanticweb.org/ns/swc/ontology#"
days,"http://ontologi.es/days#"
ad,"http://schemas.talis.com/2005/address/schema#"
wn20schema,"http://www.w3.org/2006/03/wn/wn20/schema/"
osag,"http://www.ordnancesurvey.co.uk/ontology/AdministrativeGeography/v2.0/AdministrativeGeography.rdf#"
mu,"http://www.kanzaki.com/ns/music#"
afn,"http://jena.hpl.hp.com/ARQ/function#"
biblio,"http://purl.org/net/biblio#"
cfp,"http://sw.deri.org/2005/08/conf/cfp.owl#"
sism,"http://purl.oclc.org/NET/sism/0.1/"
sd,"http://www.w3.org/ns/sparql-service-description#"
rdfg,"http://www.w3.org/2004/03/trix/rdfg-1/"
log,"http://www.w3.org/2000/10/swap/log#"
memo,"http://ontologies.smile.deri.ie/2009/02/27/memo#"
cs,"http://purl.org/vocab/changeset/schema#"
sider,"http://www4.wiwiss.fu-berlin.de/sider/resource/sider/"
af,"http://purl.org/ontology/af/"
ome,"http://purl.org/ontomedia/core/expression#"
xf,"http://www.w3.org/2002/xforms/"
ctag,"http://commontag.org/ns#"
cal,"http://www.w3.org/2002/12/cal/ical#"
fn,"http://www.w3.org/2005/xpath-functions#"
cmp,"http://www.ontologydesignpatterns.org/cp/owl/componency.owl#"
xhv,"http://www.w3.org/1999/xhtml/vocab#"
swanq,"http://purl.org/swan/1.2/qualifiers/"
dbr,"http://dbpedia.org/resource/"
xs,"http://www.w3.org/2001/XMLSchema#"
cert,"http://www.w3.org/ns/auth/cert#"
co,"http://purl.org/ontology/co/core#"
dcn,"http://www.w3.org/2007/uwa/context/deliverycontext.owl#"
lomvoc,"http://ltsc.ieee.org/rdf/lomv1p0/vocabulary#"
ok,"http://okkam.org/terms#"
giving,"http://ontologi.es/giving#"
math,"http://www.w3.org/2000/10/swap/math#"
ir,"http://www.ontologydesignpatterns.org/cp/owl/informationrealization.owl#"
rif,"http://www.w3.org/2007/rif#"
myspace,"http://purl.org/ontology/myspace#"
swande,"http://purl.org/swan/1.2/discourse-elements/"
daia,"http://purl.org/ontology/daia/"
sr,"http://www.openrdf.org/config/repository/sail#"
movie,"http://data.linkedmdb.org/resource/movie/"
jdbc,"http://d2rq.org/terms/jdbc/"
tzont,"http://www.w3.org/2006/timezone#"
con,"http://www.w3.org/2000/10/swap/pim/contact#"
nfo,"http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#"
ac,"http://umbel.org/umbel/ac/"
po,"http://purl.org/ontology/po/"
akts,"http://www.aktors.org/ontology/support#"
uniprot,"http://purl.uniprot.org/core/"
rsa,"http://www.w3.org/ns/auth/rsa#"
sioct,"http://rdfs.org/sioc/types#"
ov,"http://open.vocab.org/terms/"
daml,"http://www.daml.org/2001/03/daml+oil#"
pto,"http://www.productontology.org/id/"
frbr,"http://purl.org/vocab/frbr/core#"
wo,"http://purl.org/ontology/wo/"
oo,"http://purl.org/openorg/"
pmlj,"http://inference-web.org/2.0/pml-justification.owl#"
usgov,"http://www.rdfabout.com/rdf/schema/usgovt/"
politico,"http://www.rdfabout.com/rdf/schema/politico/"
prv,"http://purl.org/ontology/prv/core#"
oauth,"http://demiblog.org/vocab/oauth#"
lfm,"http://purl.org/ontology/last-fm/"
taxo,"http://purl.org/rss/1.0/modules/taxonomy/"
scovo,"http://purl.org/NET/scovo#"
doac,"http://ramonantonio.net/doac/0.1/#"
omt,"http://purl.org/ontomedia/ext/common/trait#"
vote,"http://www.rdfabout.com/rdf/schema/vote/"
wn,"http://xmlns.com/wordnet/1.6/"
affy,"http://www.affymetrix.com/community/publications/affymetrix/tmsplice#"
irrl,"http://www.ontologydesignpatterns.org/cp/owl/informationobjectsandrepresentationlanguages.owl#"
vs,"http://www.w3.org/2003/06/sw-vocab-status/ns#"
lgd,"http://linkedgeodata.org/ontology/"
mit,"http://purl.org/ontology/mo/mit#"
wdrs,"http://www.w3.org/2007/05/powder-s#"
scot,"http://scot-project.org/scot/ns#"
lastfm,"http://purl.org/ontology/last-fm/"
nao,"http://www.semanticdesktop.org/ontologies/2007/08/15/nao#"
rep,"http://www.openrdf.org/config/repository#"
spc,"http://purl.org/ontomedia/core/space#"
user,"http://schemas.talis.com/2005/user/schema#"
atomix,"http://buzzword.org.uk/rdf/atomix#"
dcat,"http://www.w3.org/ns/dcat#"
ya,"http://blogs.yandex.ru/schema/foaf/"
coref,"http://www.rkbexplorer.com/ontologies/coref#"
wordmap,"http://purl.org/net/ns/wordmap#"
lode,"http://linkedevents.org/ontology/"
ore,"http://www.openarchives.org/ore/terms/"
abc,"http://www.metadata.net/harmony/ABCSchemaV5Commented.rdf#"
fec,"http://www.rdfabout.com/rdf/schema/usfec/"
code,"http://telegraphis.net/ontology/measurement/code#"
dctype,"http://purl.org/dc/dcmitype/"
ti,"http://www.ontologydesignpatterns.org/cp/owl/timeinterval.owl#"
